BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
184090	Cc1cc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(cc1C)-n1nccn1	30
184091	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cc(Cl)ccc1-n1nccn1)-n1nccn1	188
184092	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccc(Cl)cc1-n1nccn1)-n1nccn1	191
184093	COc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1F)-n1nccn1)-n1nccn1	1131
184094	Cc1ccc(c(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c1F)-n1nccn1	1170
184095	COc1ccc(c(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c1F)-n1nccn1	2600
184096	COc1cc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(cc1C)-n1nccn1	336
184097	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cccc(Cl)c1-n1nccn1)-n1nccn1	1880
184098	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1c(F)cccc1-n1nccn1)-n1nccn1	574
184099	Fc1cc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(cc1F)-n1nccn1	202
184100	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccc(cc1-n1nccn1)C(F)(F)F)-n1nccn1	159
184101	COc1cc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(cc1Cl)-n1nccn1	191
184102	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2ccnn2)CO1)C(=O)c1cc(C)ccc1-n1nccn1	1110
184103	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2ccnn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	429
184104	CC[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1cc(C)ccc1-n1nccn1	287
184105	CC[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccccc1-n1nccn1	485
184106	CC[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	104
184107	Fc1cc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc(c1)-n1nccn1	1514
184108	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(c2)-n2nccn2)c(c1)-n1nccn1	282
184109	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1cc(C)ccc1-n1nccn1	171
184110	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1ccccc1-n1nccn1	1935
184111	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	263
184112	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1cccc(C)c1-n1nccn1	506
184113	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1ccc(C)c(C)c1-n1nccn1	818
184114	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1cc(Cl)ccc1-n1nccn1	129
184115	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1ccc(Cl)cc1-n1nccn1	85
184116	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2ncccn2)CO1)C(=O)c1cccc(Cl)c1-n1nccn1	447
184117	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1F)-c1ncccn1)-n1nccn1	371
184118	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncccn2)c(c1)-n1nccn1	571
